20:58:03 - INFO    	|    Train
21:06:20 - INFO    	|    -331.78209095476984
21:06:22 - INFO    	|    -381.8882754004609
21:06:24 - INFO    	|    -96.37693154704657
21:06:25 - INFO    	|    -58.52807161753343
21:06:27 - INFO    	|    -377.9126859177307
21:06:29 - INFO    	|    -222.7242942829314
21:06:30 - INFO    	|    -78.89907566347415
21:06:32 - INFO    	|    -393.64176572726575
21:06:33 - INFO    	|    -58.83965644928113
21:06:35 - INFO    	|    -197.1150988377526
21:06:38 - INFO    	|    -393.0586965614273
21:06:40 - INFO    	|    -82.6071346180261
21:06:42 - INFO    	|    -98.17886233955139
21:06:43 - INFO    	|    -132.19131663824405
21:06:45 - INFO    	|    -158.3279565049204
21:06:47 - INFO    	|    33.960842812892594
21:06:49 - INFO    	|    -344.3310364238462
21:06:52 - INFO    	|    -168.4329949783192
21:06:53 - INFO    	|    -90.01683471641883
21:06:55 - INFO    	|    -98.82046494779776
21:06:56 - INFO    	|    -216.83099906045467
21:06:57 - INFO    	|    -146.36491331763273
21:06:59 - INFO    	|    -370.98615603013627
21:07:01 - INFO    	|    -117.4698950344882
21:07:02 - INFO    	|    -416.607860369913
21:07:04 - INFO    	|    -293.44615403433914
21:07:06 - INFO    	|    -276.5142818537275
21:07:08 - INFO    	|    -393.68183480965666
21:07:09 - INFO    	|    -92.77338905999453
21:07:12 - INFO    	|    -219.7484558024542
21:07:13 - INFO    	|    -171.56266855607294
21:07:14 - INFO    	|    -144.59500353833965
21:07:17 - INFO    	|    -241.52400768916553
21:07:19 - INFO    	|    -412.9338865368575
21:07:20 - INFO    	|    -102.13949367118094
21:07:21 - INFO    	|    -15.75797713702218
21:07:24 - INFO    	|    -16.316788028012894
21:07:26 - INFO    	|    -214.27393943545852
21:07:29 - INFO    	|    -271.0093299066908
21:07:31 - INFO    	|    -165.17645325314368
21:07:33 - INFO    	|    -350.4702157252372
21:07:35 - INFO    	|    -129.2441704782835
21:07:36 - INFO    	|    -101.98807689376532
21:07:37 - INFO    	|    -187.85056777796134
21:07:39 - INFO    	|    -150.01047059738158
21:07:41 - INFO    	|    -434.6999667172738
21:07:43 - INFO    	|    -520.2977026018114
21:07:44 - INFO    	|    -106.99557143096274
21:07:46 - INFO    	|    -94.0031964220081
21:07:48 - INFO    	|    -249.73797888185373
21:07:49 - INFO    	|    -110.41403767872484
21:07:52 - INFO    	|    -186.3613897564722
21:07:53 - INFO    	|    -122.54085963586328
21:07:54 - INFO    	|    -98.01511065372567
21:07:57 - INFO    	|    -191.14196670646157
21:07:58 - INFO    	|    -153.4926576453052
21:08:00 - INFO    	|    -278.6502345154515
21:08:02 - INFO    	|    -417.4035820131814
21:08:04 - INFO    	|    -129.318728106869
21:08:05 - INFO    	|    -118.69801502033056
21:08:07 - INFO    	|    -204.35875477586166
21:08:08 - INFO    	|    -144.97405749154265
